timestamp,from_bank,from_account,to_bank,to_account,amount_received,receiving_currency,amount_paid,payment_currency,payment_format
2023-10-28 19:51:17,Société Générale,AQBC61435865140453,Fowler and Sons,ULCZ63222739313535,4636.24,EUR,4336.57,EUR,SWIFT
2020-06-18 08:55:44,Société Générale,PDJO71922088867607,"Mora, White and Villarreal",KJME70871313941140,221.45,GBP,4629.99,USD,INTERNAL
2023-12-22 07:24:14,Société Générale,XPDR67233499569721,Chang-Johnson,WYVD15167051333138,4333.91,EUR,1407.35,GBP,SEPA
2023-02-13 05:07:25,Société Générale,XCQJ30309704108490,Bowers LLC,BBGW70427253894990,1974.45,EUR,4307.11,EUR,SEPA
2020-04-13 03:59:58,Société Générale,CKKS75365812523908,Rosario Inc,LYHU57112270460248,4101.27,USD,1813.33,EUR,SEPA
2023-07-22 11:16:53,Société Générale,SKIP58457741876249,Hart Group,JIME49081499383269,215.96,EUR,2052.48,USD,SEPA
2021-11-08 19:46:28,Société Générale,ZAHL44931529346379,Obrien LLC,VPAY12341555625559,4837.76,USD,1820.62,GBP,SWIFT
2020-05-27 21:08:07,Société Générale,UMKK05838131078008,Johnson-Wilson,AWCE07098234696274,3429.64,GBP,1722.63,EUR,SEPA
2020-05-23 03:03:24,Société Générale,GBZV40858196230760,Lynch Ltd,VMWB43460486815887,4397.49,USD,974.98,USD,SEPA
2024-07-28 18:38:49,Société Générale,FSDW25242508534399,Moore-Fowler,HJGX09071760830660,631.17,USD,1793.87,USD,SWIFT
2021-12-02 18:46:22,Société Générale,DMCF53731747319227,Perez Group,YCLL35260072013803,3070.42,GBP,666.66,GBP,SEPA
2023-06-18 19:48:37,Société Générale,MHOI00824650539189,Gibson-Walker,DYIT40361442436802,1348.14,GBP,2236.68,GBP,INTERNAL
2021-09-22 03:56:25,Société Générale,COYQ15362891040409,"Watson, Long and Manning",ECTI04930335057015,3465.6,GBP,3711.48,EUR,SWIFT
2020-01-20 17:51:10,Société Générale,KPUN26697505062270,Stanley-Hatfield,NGXB10209476304954,2213.36,GBP,4611.78,GBP,SWIFT
2022-08-05 02:19:15,Société Générale,NEVT88295328887538,Hernandez-Mendoza,GSHG78090381042884,3350.6,EUR,3626.8,USD,INTERNAL
2023-04-20 04:00:46,Société Générale,WXHY07336201065302,Miller-Lowery,RXQM31663838299252,1615.49,USD,1698.3,GBP,SWIFT
2021-07-08 10:14:06,Société Générale,ANVJ08680781853711,Anderson-Rice,QLVM10457308303885,2816.62,EUR,2160.19,USD,INTERNAL
2025-03-06 23:07:34,Société Générale,FEFT78844617192284,"Love, Browning and Kim",PPGF00741279274325,3765.86,EUR,3116.02,USD,SWIFT
2021-05-17 13:11:37,Société Générale,EJDS56427738768794,"Brown, Wagner and Rogers",DTYK18097837126964,2784.89,EUR,1588.99,EUR,SWIFT
2021-11-22 11:00:59,Société Générale,SZBM15402585622591,"Beasley, Jones and Pollard",QIET60008602766935,3950.22,GBP,3308.06,USD,SWIFT
2022-09-25 13:06:19,Société Générale,FTKC75226166737775,Baker and Sons,FCJJ89542628958178,2266.58,EUR,2604.75,GBP,SEPA
2021-07-05 01:52:35,Société Générale,EQEO79894096468259,Hayes-Wright,QMLQ21978571605298,3328.37,USD,2625.71,GBP,INTERNAL
2023-06-14 15:43:40,Société Générale,EOYO63720604894319,Jordan and Sons,UQPS08189448172254,1742.42,EUR,3396.7,EUR,SEPA
2023-02-23 20:20:18,Société Générale,PVGJ90038833963838,Buckley-Smith,HPNQ84876540528573,822.03,EUR,1299.73,USD,INTERNAL
2024-11-19 05:32:36,Société Générale,LFZP70672946598004,"Jones, Knight and Perez",DTUK59725604152878,4263.71,EUR,2331.54,GBP,INTERNAL
2023-06-23 04:20:21,Société Générale,ATSU61633396735775,Reed LLC,FYYW47484560906867,1052.73,GBP,1981.49,USD,SEPA
2020-04-02 09:26:07,Société Générale,LHTS31537859831519,Green Group,LTTO22283492755956,823.1,GBP,127.17,EUR,SWIFT
2020-03-07 02:09:12,Société Générale,PNDJ57690881419495,Hicks-Castro,AITX63294396501862,1172.32,GBP,2637.99,EUR,INTERNAL
2020-03-06 06:34:26,Société Générale,AKNC91725358339314,"Wolfe, Palmer and Pierce",LJAO59900218539584,1321.07,EUR,2336.66,USD,INTERNAL
2022-11-16 22:42:54,Société Générale,XIGB74157883806814,"Perez, Montes and Moss",WGGP94922700356342,2702.55,GBP,3017.72,USD,INTERNAL
2020-02-15 20:28:38,Société Générale,EDJU84056288393703,Marsh and Sons,UKIF86536416380184,4093.53,GBP,2191.03,GBP,SWIFT
2020-02-18 11:13:18,Société Générale,LVTP78403022192872,Gonzalez Group,DAUZ32656462846163,4496.32,GBP,4321.33,USD,SWIFT
2024-04-05 03:22:05,Société Générale,MLIH50255479270471,"Robinson, Owen and Edwards",MKDW26011984798164,3783.71,GBP,1458.83,GBP,SWIFT
2024-08-24 19:05:29,Société Générale,QCEK84217660598795,Hanson-Ray,RIFT64836824519177,3171.07,USD,2255.38,GBP,SWIFT
2020-12-23 15:06:39,Société Générale,HCNV92004780448188,Green-Lang,OJRO31395740381247,1249.02,USD,1666.58,GBP,SEPA
2022-11-15 03:24:11,Société Générale,DXGA07783551239688,Moore LLC,PYGG43670466857197,778.03,EUR,1976.87,EUR,INTERNAL
2023-11-13 09:31:30,Société Générale,ILFD49888317326695,"Brown, Flores and Washington",MIUM12031129191055,1148.37,USD,2097.24,GBP,SWIFT
2022-09-14 16:00:30,Société Générale,RALX61348868654542,Spencer-Rangel,TEQX48688223073980,2137.29,EUR,4181.17,USD,INTERNAL
2024-08-12 14:08:29,Société Générale,TBFP77666072501567,Hill-Roberts,AUDV05946144565045,4735.7,EUR,4297.99,GBP,SWIFT
2021-02-02 14:53:56,Société Générale,EMMN77273185043016,Sandoval Group,RXDY54222020554934,2437.2,USD,1563.2,USD,SWIFT
2025-05-22 17:17:26,Société Générale,PJPD22510569639469,Nicholson-Taylor,BNJW24764806270704,2737.28,GBP,2776.05,GBP,SEPA
2022-03-03 09:23:00,Société Générale,XOGG10134796183935,Gray Ltd,RPTA28241558494195,2492.32,USD,2235.6,EUR,SWIFT
2025-01-14 12:57:16,Société Générale,CMXJ45988769455701,Hendrix-Lopez,KVPJ61360266061409,1747.03,GBP,4010.9,GBP,SEPA
2022-01-02 16:57:14,Société Générale,HMIP72042704298337,"Lee, White and Chavez",VPTA82675921940620,4218.48,EUR,4905.54,GBP,SEPA
2025-05-24 07:19:37,Société Générale,IJGY51871270769896,Johnson-Kelly,NIJP60015365336039,4543.95,GBP,2865.52,EUR,SEPA
2020-09-15 19:09:03,Société Générale,KNSD32508373853721,"Carlson, Tyler and Reed",OJPA65691162650515,3249.47,EUR,4347.57,EUR,SEPA
2022-05-02 10:24:42,Société Générale,SSKY54084719153668,King PLC,LGWZ64375731353731,1374.77,USD,1137.14,USD,SWIFT
2023-04-15 23:44:26,Société Générale,LCFO03941203158292,"Rich, Jacobs and Perez",LFME71438215460814,3830.03,USD,1463.46,USD,SWIFT
2021-01-11 03:45:58,Société Générale,KUAA86912929147456,Gutierrez and Sons,ETIR83470926039234,4191.06,USD,194.98,GBP,SEPA
2023-11-06 08:46:18,Société Générale,UKIV18164860726571,"Thompson, Johnson and Marshall",HFHP51737554155713,4999.55,USD,1198.69,EUR,INTERNAL
2021-02-05 02:25:03,Société Générale,PMAY83865509442572,Pennington-Farrell,CFIA19556317456717,297.26,EUR,4753.1,EUR,SEPA
2024-01-19 16:37:43,Société Générale,INXS04995479415323,Buck and Sons,KCUB25158119178203,3144.54,EUR,718.48,GBP,SEPA
2022-01-10 21:26:36,Société Générale,BAHX25779347356939,Graham-Wilkinson,REPI14299619748850,2863.45,EUR,2378.67,USD,SWIFT
2024-02-28 18:07:28,Société Générale,QKIF78896804169405,"Ryan, Burns and Simpson",YLVI48806286579366,922.17,GBP,4822.3,GBP,SEPA
2021-09-01 08:03:19,Société Générale,ZMRI05313046945777,"Nixon, Black and Miller",OMHR14478661049266,3911.18,EUR,4827.13,EUR,INTERNAL
2020-06-04 12:50:22,Société Générale,QGMD70517548133176,"Oneal, Taylor and Brooks",ZUQI72460604452207,225.82,USD,2921.4,USD,SWIFT
2021-02-28 20:26:32,Société Générale,MLDK08645810247734,Mendoza PLC,SJRX00597834812079,4713.21,EUR,472.38,GBP,INTERNAL
2024-03-14 09:27:40,Société Générale,EOVP60326525685161,Perez Ltd,WRRX52122199370482,1289.96,GBP,3885.16,GBP,INTERNAL
2023-04-26 02:13:11,Société Générale,LZYL62767375955349,Sexton Group,NBAB54574330613508,4047.09,GBP,3934.91,USD,INTERNAL
2024-07-26 22:17:21,Société Générale,TETF91518720595776,Evans PLC,ISYK75403505158896,2199.05,USD,437.89,GBP,SWIFT
2022-10-15 11:23:13,Société Générale,NRIJ62628601112342,Mathis Group,DVJR30214996948991,162.0,USD,4129.42,EUR,SWIFT
2021-11-17 22:54:33,Société Générale,YENH31243558616029,"Rogers, Suarez and Santiago",RKVL57638938483786,4807.86,GBP,4468.72,USD,INTERNAL
2020-10-31 11:22:58,Société Générale,AEGB50157216144578,Jackson PLC,SUSX79153221895410,849.66,EUR,3695.6,GBP,SWIFT
2020-05-12 21:38:29,Société Générale,GPNF08558255841686,Mathis Group,XFTD72916598794826,3117.97,GBP,3895.74,USD,SWIFT
2022-05-16 16:33:32,Société Générale,RIBJ89852685501764,Mckinney LLC,PKOG35816550566758,4146.1,GBP,1415.14,EUR,SEPA
2021-07-26 17:25:23,Société Générale,VHBK25042643270030,Johnson-Padilla,RZNA18330460959593,1466.75,USD,1294.93,USD,INTERNAL
2024-10-06 17:42:12,Société Générale,AWOT63760428588153,Hanson-Wood,EMNN88965568407085,3090.63,USD,1748.34,USD,SWIFT
2022-09-30 23:36:40,Société Générale,YHIK10453440363448,Jones Inc,BRPK51038773841198,991.02,EUR,1838.64,USD,SWIFT
2022-05-24 16:30:40,Société Générale,CZEY34600372692607,Parker and Sons,LQAY05515314228840,1470.33,GBP,3535.8,USD,INTERNAL
2024-04-29 07:08:32,Société Générale,KJSL51873359357009,"Carpenter, Miller and Taylor",GGVB95513234163355,149.74,EUR,519.5,GBP,SWIFT
2020-07-16 23:46:47,Société Générale,TXMX16184552886873,"Flores, Orozco and Becker",WSDJ69539406940626,2494.03,EUR,3483.99,GBP,INTERNAL
2023-10-01 07:30:58,Société Générale,RSJD12481449203212,"Dudley, Lewis and Ayala",VCTE53627984133524,2505.02,EUR,555.96,EUR,SWIFT
2023-11-09 02:59:44,Société Générale,TOEZ15464034031160,"Chambers, Lane and Crawford",INSG01667953937836,3489.76,USD,3353.4,USD,SWIFT
2025-02-20 22:47:05,Société Générale,WQBZ58848707989462,Huang PLC,LJEN16532433579179,2812.02,USD,2184.97,GBP,INTERNAL
2020-01-28 10:31:43,Société Générale,IPBF14149729327755,"Patterson, Mills and Brown",GXFE75892318614611,1720.88,GBP,2323.35,USD,SWIFT
2025-01-13 12:51:39,Société Générale,AXRK23391052269086,Marshall Ltd,RYFN62820054207428,1229.64,GBP,1043.66,EUR,INTERNAL
2023-04-09 13:39:30,Société Générale,UTLT09565735437821,Kim-Peterson,GKPQ44953897475849,2725.73,GBP,1007.23,EUR,INTERNAL
2024-09-12 13:32:04,Société Générale,MNTS94774706992986,Stevenson-Smith,DOEI26291034242520,2472.57,GBP,2988.98,GBP,INTERNAL
2021-09-17 00:47:04,Société Générale,BQNV36759556164677,Peters Ltd,NSWQ70998506300507,1486.69,EUR,4179.88,USD,SEPA
2023-03-07 07:31:43,Société Générale,IFTC85848649941774,Parker Inc,OUJE96995168761623,1868.32,USD,169.33,GBP,SEPA
2023-11-13 06:21:11,Société Générale,JEVP49787783600013,"Carter, Barton and Swanson",AUVS21625894299685,1444.13,EUR,2811.46,GBP,SEPA
2020-07-20 02:59:00,Société Générale,ZASD18594591433174,Mills-Baker,ZNGM33529079006453,3225.56,USD,602.68,EUR,INTERNAL
2024-10-30 09:01:10,Société Générale,EFPC45116944704661,"Nelson, Pennington and Mills",WRAX57633410280654,1493.26,USD,2258.3,EUR,SEPA
2022-07-03 12:27:05,Société Générale,CGVC19778839664973,"Hall, Charles and Bailey",QSFR05886178021815,1337.14,USD,659.03,EUR,SWIFT
2025-02-17 17:52:11,Société Générale,WFJY71601571399731,"Allen, Petty and Wallace",BTCD34431268840440,2509.56,GBP,3184.28,EUR,SEPA
2022-01-10 00:22:26,Société Générale,HSGW43183334816367,Singleton PLC,DGEL35280264857533,831.07,GBP,4750.72,EUR,SEPA
2022-05-30 10:55:16,Société Générale,JNGJ10420284357123,Thompson-Burnett,BCRQ84752543043855,680.41,USD,3070.96,GBP,SEPA
2024-10-28 06:10:37,Société Générale,MGVT04883286803710,Mendez-Compton,GGES66458283986069,3900.9,USD,2307.52,USD,SWIFT
2020-08-29 14:56:32,Société Générale,VJNA11129652486307,Kelley-Jensen,XXIE50706518439481,4314.82,USD,1596.36,GBP,SEPA
2020-04-30 13:24:44,Société Générale,MRPU69697724767979,Riggs-Freeman,LNZT00712002563508,3087.19,GBP,586.24,EUR,INTERNAL
2025-05-09 05:41:34,Société Générale,FNOP71488406467890,Ross Inc,TBSY68212016538263,1134.02,GBP,497.82,EUR,SEPA
2020-05-27 09:35:46,Société Générale,GHKY97754246228143,"Davis, Mckee and Long",QZYQ06967317327947,2804.76,EUR,113.11,USD,INTERNAL
2021-12-04 17:10:11,Société Générale,BLFA12403706017117,Wolfe-Smith,LKTV42793880968315,3009.67,USD,259.94,USD,INTERNAL
2025-03-31 19:23:45,Société Générale,GZXQ83289246913610,Barton Inc,EDUX09841856444087,1485.32,USD,448.78,EUR,SWIFT
2020-12-01 01:21:17,Société Générale,NYVV88703768910749,"Jackson, Meyer and Gray",KPUK75249903436138,3960.36,GBP,2989.97,EUR,SWIFT
2024-04-05 02:25:56,Société Générale,FANC65555829958589,Lane-Sandoval,SDRM22117910629789,662.4,EUR,3273.41,USD,SEPA
2022-11-25 00:00:05,Société Générale,QDHU72145139508011,Gamble-Mata,CCSN48873424053277,449.91,EUR,3983.88,GBP,INTERNAL
2022-09-24 07:29:09,Société Générale,HFQR80420063756913,Summers-Fuller,FGHE99443650999257,4138.78,USD,2251.85,USD,INTERNAL
2021-05-02 11:27:19,Société Générale,GCYJ86746380811132,"Hawkins, Wright and Young",HTNB44933081434350,1590.05,USD,4719.11,GBP,INTERNAL
2023-12-10 03:31:12,Société Générale,BHSQ42576724394195,Blair-Mora,OVUY24711915885578,2519.6,EUR,3030.38,USD,INTERNAL
2024-09-21 12:12:44,Société Générale,VBQW49217218573567,Wiley LLC,GUGI78095953704269,1679.38,USD,226.74,EUR,INTERNAL
2023-04-07 18:08:34,Société Générale,XNSM81192677243184,Turner-Phillips,UNCC62035946904066,4196.2,GBP,2976.9,EUR,INTERNAL
2025-04-28 08:12:00,Société Générale,XBNT43586109147271,Roach Inc,MXSH60865576480662,4124.96,GBP,297.14,EUR,SWIFT
2022-08-05 13:11:52,Société Générale,ZIQD34711422065273,Huffman-Gutierrez,APUK53562449594813,2642.92,USD,4588.76,EUR,INTERNAL
2022-11-17 14:13:41,Société Générale,APCX69984518158872,"Walker, Giles and Morton",ZHWN66505619232654,2235.84,USD,4848.37,USD,SWIFT
2021-01-27 01:42:31,Société Générale,QETX67198173137514,Miller-Collins,ZNYP47555092366782,2100.91,USD,3383.65,EUR,SWIFT
2021-12-09 20:26:55,Société Générale,UODC60318412466843,Brennan Ltd,GNDB35004738723956,2117.06,USD,1512.27,USD,INTERNAL
2021-10-04 10:24:58,Société Générale,UKFS16828423266048,Bush-Dillon,EOCC20245800274866,279.82,EUR,1641.13,USD,SEPA
2021-02-24 03:01:32,Société Générale,MARS60404470703696,Davidson PLC,KKUX38725860924034,4853.91,USD,4338.06,EUR,INTERNAL
